Cidade;UF;Longitude;Latitude
Palmeiras do Tocantins;TO;-47.546429;-6.616584
Barro Preto;BA;-39.476029;-14.794773
Fernando de Noronha;PE;-32.410733;-3.839601
Campo de Santana;PB;-35.636707;-6.487585
Pracuúba;AP;-50.789248;1.745427
Amapá;AP;-50.795653;2.052669
Bujari;AC;-67.955029;-9.815277
Plácido de Castro;AC;-67.137133;-10.280640
Tarauacá;AC;-70.772154;-8.156975
Feijó;AC;-70.350973;-8.170536
Caracaraí;RR;-61.130378;1.827659
Iracema;RR;-61.041546;2.183046
Mucajaí;RR;-60.909619;2.439982
Alto Alegre;RR;-61.307167;2.988580
Amajari;RR;-61.369245;3.645714
Rorainópolis;RR;-60.438923;0.939956
São Luiz;RR;-60.041894;1.010193
São João da Baliza;RR;-59.913293;0.951659
Caroebe;RR;-59.695886;0.884203
Cantá;RR;-60.605827;2.609940
Bonfim;RR;-59.833300;3.361614
Normandia;RR;-59.620402;3.885305
Pacaraima;RR;-61.147695;4.479895
Uiramutã;RR;-60.181464;4.603144
Pedra Branca do Amapari;AP;-51.950306;0.777424
Serra do Navio;AP;-52.003636;0.901357
Porto Grande;AP;-51.415499;0.712430
Ferreira Gomes;AP;-51.179523;0.857256
Itaubal;AP;-50.670828;0.596137
Cutias;AP;-50.799169;0.987565
Tartarugalzinho;AP;-50.908740;1.506519
Oiapoque;AP;-51.833123;3.840740
Calçoene;AP;-50.951233;2.504747
Marechal Thaumaturgo;AC;-72.799704;-8.938983
Jordão;AC;-71.897391;-9.430912
Assis Brasil;AC;-69.573794;-10.929765
Santa Rosa do Purus;AC;-70.490250;-9.446515
Manoel Urbano;AC;-69.267862;-8.832911
Epitaciolândia;AC;-68.734109;-11.018771
Brasiléia;AC;-68.749696;-10.994994
Xapuri;AC;-68.496857;-10.651598
Capixaba;AC;-67.686006;-10.566031
Sena Madureira;AC;-68.671278;-9.063499
Senador Guiomard;AC;-67.736185;-10.149686
Envira;AM;-70.028143;-7.437889
Porto Acre;AC;-67.547815;-9.581378
Boca do Acre;AM;-67.391926;-8.742322
Mâncio Lima;AC;-72.899708;-7.616575
Porto Walter;AC;-72.753747;-8.263233
Rodrigues Alves;AC;-72.661015;-7.738638
Cruzeiro do Sul;AC;-72.675582;-7.627625
Guajará;AM;-72.590713;-7.537971
Ipixuna;AM;-71.693426;-7.047909
Eirunepé;AM;-69.866160;-6.656767
Amaturá;AM;-68.200456;-3.374547
Maçambara;RS;-56.067444;-29.144485
São Borja;RS;-56.003603;-28.657828
Garruchos;RS;-55.638284;-28.194414
Herval;RS;-53.394362;-32.023985
Arroio Grande;RS;-53.086155;-32.232657
Dom Feliciano;RS;-52.102645;-30.700354
Chuvisca;RS;-51.973659;-30.750410
Atalaia do Norte;AM;-70.196700;-4.370551
Benjamin Constant;AM;-70.034157;-4.377680
Tabatinga;AM;-69.938273;-4.241597
Itamarati;AM;-68.260027;-6.424591
São Paulo de Olivença;AM;-68.964581;-3.472919
Santo Antônio do Içá;AM;-67.946279;-3.095443
Tonantins;AM;-67.791904;-2.865825
Chuí;RS;-53.459369;-33.686630
Barra do Quaraí;RS;-57.549722;-30.202859
Uruguaiana;RS;-57.085287;-29.761436
Quaraí;RS;-56.448254;-30.384033
Alegrete;RS;-55.794862;-29.790166
Sant' Ana do Livramento;RS;-55.531467;-30.887720
Dom Pedrito;RS;-54.669360;-30.975590
Manoel Viana;RS;-55.484112;-29.585935
São Francisco de Assis;RS;-55.125310;-29.554689
Rosário do Sul;RS;-54.922106;-30.251483
Cacequi;RS;-54.821998;-29.888295
Nova Esperança do Sul;RS;-54.829302;-29.406643
São Vicente do Sul;RS;-54.682643;-29.688161
Jaguari;RS;-54.702993;-29.493559
Itaqui;RS;-56.551478;-29.131051
Pinheiro Machado;RS;-53.379789;-31.579440
Pedro Osório;RS;-52.818389;-31.864243
Cerrito;RS;-52.800442;-31.841917
Capão do Leão;RS;-52.488879;-31.756460
Morro Redondo;RS;-52.626064;-31.588737
Bagé;RS;-54.099920;-31.329650
Hulha Negra;RS;-53.866702;-31.406721
Unistalda;RS;-55.151731;-29.039953
Itacurubi;RS;-55.244670;-28.791281
Santo Antônio das Missões;RS;-55.225077;-28.513977
Santiago;RS;-54.866624;-29.189675
Bossoroca;RS;-54.903507;-28.729089
São Luiz Gonzaga;RS;-54.955942;-28.412032
São Miguel das Missões;RS;-54.555879;-28.556044
São Nicolau;RS;-55.265441;-28.183365
Dezesseis de Novembro;RS;-55.061709;-28.219036
Pirapó;RS;-55.200130;-28.043888
Porto Xavier;RS;-55.137910;-27.908182
Roque Gonzales;RS;-55.026609;-28.129681
São Pedro do Butiá;RS;-54.892603;-28.124250
Salvador das Missões;RS;-54.837318;-28.123337
São Paulo das Missões;RS;-54.940352;-28.019546
Porto Lucena;RS;-55.010028;-27.856880
Campina das Missões;RS;-54.841648;-27.988833
Sério;RS;-52.268500;-29.390428
Mato Leitão;RS;-52.127760;-29.528474
Santa Clara do Sul;RS;-52.084260;-29.474740
Cruzeiro do Sul;RS;-51.992778;-29.514835
Bom Retiro do Sul;RS;-51.945593;-29.607076
Estrela;RS;-51.949508;-29.500207
Lajeado;RS;-51.964427;-29.459086
Arroio do Meio;RS;-51.955735;-29.401353
Barão do Triunfo;RS;-51.738441;-30.389072
Arroio dos Ratos;RS;-51.727479;-30.087545
São Jerônimo;RS;-51.725070;-29.971580
General Câmara;RS;-51.761178;-29.903173
Triunfo;RS;-51.707471;-29.929129
Mariana Pimentel;RS;-51.580307;-30.353048
Eldorado do Sul;RS;-51.618702;-30.084676
Charqueadas;RS;-51.628872;-29.962478
Taquari;RS;-51.865346;-29.794330
Tabaí;RS;-51.682292;-29.643041
Fazenda Vilanova;RS;-51.821714;-29.588511
Colinas;RS;-51.855564;-29.394781
Teutônia;RS;-51.804375;-29.448205
Paverama;RS;-51.733925;-29.548554
Poço das Antas;RS;-51.671938;-29.448097
Montenegro;RS;-51.467903;-29.682414
Pareci Novo;RS;-51.397400;-29.636538
Brochier;RS;-51.594516;-29.550136
Maratá;RS;-51.557320;-29.545715
Mundo Novo;MS;-54.281012;-23.935540
Eldorado;MS;-54.283775;-23.786838
Guaíra;PR;-54.257327;-24.085005
Itaquiraí;MS;-54.186971;-23.477868
Altônia;PR;-53.895809;-23.875916
Francisco Alves;PR;-53.846124;-24.066725
São Jorge do Patrocínio;PR;-53.882275;-23.764744
Esperança Nova;PR;-53.810979;-23.723782
Sales Oliveira;SP;-47.836873;-20.769612
Glória de Dourados;MS;-54.233502;-22.413628
Deodápolis;MS;-54.168163;-22.276272
Novo Horizonte do Sul;MS;-53.860148;-22.669322
Ivinhema;MS;-53.818414;-22.304571
Angélica;MS;-53.770789;-22.152658
Nova Alvorada do Sul;MS;-54.382491;-21.465688
Santa Cruz de Monte Castelo;PR;-53.296342;-22.954225
São Pedro do Paraná;PR;-53.224141;-22.823882
Porto Rico;PR;-53.267731;-22.774742
São João do Pau d'Alho;SP;-51.667172;-21.266249
Dracena;SP;-51.535034;-21.484311
Tupi Paulista;SP;-51.575004;-21.382455
Monte Castelo;SP;-51.567889;-21.298092
Nova Independência;SP;-51.490531;-21.102630
Bela Vista do Paraíso;PR;-51.192657;-22.993653
Porecatu;PR;-51.379490;-22.753724
Alvorada do Sul;PR;-51.229709;-22.781282
Nantes;SP;-51.239977;-22.615559
Jaraguari;MS;-54.399626;-20.138615
Bandeirantes;MS;-54.358458;-19.927490
Ribas do Rio Pardo;MS;-53.758819;-20.444533
Camapuã;MS;-54.043065;-19.534672
Água Clara;MS;-52.878990;-20.445245
Alcinópolis;MS;-53.704223;-18.325546
Itiquira;MT;-54.142214;-17.214693
Alto Garças;MT;-53.527209;-16.946226
Costa Rica;MS;-53.128732;-18.543202
Cerro Largo;RS;-54.742791;-28.146251
Caibaté;RS;-54.645407;-28.290475
Guarani das Missões;RS;-54.562937;-28.149117
Cândido Godói;RS;-54.751722;-27.951509
Ubiretama;RS;-54.685952;-28.040385
Santo Cristo;RS;-54.661963;-27.826259
Senador Salgado Filho;RS;-54.550717;-28.025007
Porto Vera Cruz;RS;-54.899370;-27.740504
Alecrim;RS;-54.764849;-27.657856
Porto Mauá;RS;-54.665739;-27.579579
Foz do Iguaçu;PR;-54.582689;-25.542748
Candiota;RS;-53.677275;-31.551553
Santa Vitória do Palmar;RS;-53.371692;-33.524980
Jaguarão;RS;-53.377027;-32.560378
Lavras do Sul;RS;-53.893077;-30.807056
Caçapava do Sul;RS;-53.482684;-30.514360
São Gabriel;RS;-54.321657;-30.333688
Mata;RS;-54.464105;-29.564893
Dilermando de Aguiar;RS;-54.212241;-29.705393
São Pedro do Sul;RS;-54.185516;-29.620163
Toropi;RS;-54.224398;-29.478246
Vila Nova do Sul;RS;-53.876041;-30.346131
São Sepé;RS;-53.560296;-30.164289
Formigueiro;RS;-53.495928;-30.003518
Santa Maria;RS;-53.814946;-29.686817
São Martinho da Serra;RS;-53.859002;-29.539667
Itaara;RS;-53.772494;-29.601285
Silveira Martins;RS;-53.591018;-29.646741
Ivorá;RS;-53.584214;-29.523224
Piratini;RS;-53.097296;-31.447291
Santana da Boa Vista;RS;-53.109981;-30.869738
Canguçu;RS;-52.678254;-31.395980
Encruzilhada do Sul;RS;-52.520381;-30.542998
Restinga Seca;RS;-53.380657;-29.818778
Agudo;RS;-53.251458;-29.644743
Faxinal do Soturno;RS;-53.448390;-29.578836
São João do Polêsine;RS;-53.443920;-29.619435
Dona Francisca;RS;-53.361737;-29.619507
Nova Palma;RS;-53.468924;-29.470981
Nicolau Vergueiro;RS;-52.467629;-28.529842
Palmeira das Missões;RS;-53.313378;-27.900652
Chapada;RS;-53.066519;-28.055865
Novo Barreiro;RS;-53.110292;-27.907700
Barra Funda;RS;-53.039067;-27.920467
Nova Boa Vista;RS;-52.978377;-27.992600
Boa Vista das Missões;RS;-53.310168;-27.667123
Jaboticaba;RS;-53.276173;-27.634703
Taquaruçu do Sul;RS;-53.470250;-27.400452
Seberi;RS;-53.402634;-27.482861
Caiçara;RS;-53.425670;-27.279121
Frederico Westphalen;RS;-53.395824;-27.358644
Cristal do Sul;RS;-53.242227;-27.451995
Lajeado do Bugre;RS;-53.181811;-27.691310
São José das Missões;RS;-53.122595;-27.778908
Sagrada Família;RS;-53.135053;-27.708538
Cerro Grande;RS;-53.167233;-27.610621
Novo Tiradentes;RS;-53.183715;-27.564918
Constantina;RS;-52.993799;-27.731974
Liberato Salzano;RS;-53.075330;-27.600959
Centenário;RS;-51.998408;-27.761547
Carlos Gomes;RS;-51.912127;-27.716679
Viadutos;RS;-52.021144;-27.571566
Três Arroios;RS;-52.144753;-27.500273
Severiano de Almeida;RS;-52.121704;-27.436202
Mariano Moro;RS;-52.146661;-27.356753
Marcelino Ramos;RS;-51.909503;-27.467622
Ibiaçá;RS;-51.859851;-28.056556
Caseiros;RS;-51.686108;-28.258160
Sananduva;RS;-51.807949;-27.947028
São João da Urtiga;RS;-51.825664;-27.819507
Santo Expedito do Sul;RS;-51.643352;-27.907439
Lagoa Vermelha;RS;-51.524815;-28.209335
Rolante;RS;-50.581937;-29.646240
Caraá;RS;-50.431614;-29.786933
Riozinho;RS;-50.448781;-29.638986
São Francisco de Paula;RS;-50.582796;-29.440366
Jari;RS;-54.223711;-29.292234
Quevedos;RS;-54.078915;-29.350413
Vitória das Missões;RS;-54.504022;-28.351612
Entre-Ijuís;RS;-54.268588;-28.368556
Jóia;RS;-54.114131;-28.643484
Eugênio de Castro;RS;-54.150590;-28.531467
Coronel Barros;RS;-54.068621;-28.392148
Dois Vizinhos;PR;-53.057016;-25.740694
Nova Prata do Iguaçu;PR;-53.346862;-25.630908
Boa Vista da Aparecida;PR;-53.411694;-25.430755
Boa Esperança do Iguaçu;PR;-53.210818;-25.632435
Cruzeiro do Iguaçu;PR;-53.128484;-25.619214
Três Barras do Paraná;PR;-53.183350;-25.418517
Catanduvas;PR;-53.154826;-25.204356
Bom Sucesso do Sul;PR;-52.835297;-26.073113
Itapejara d'Oeste;PR;-52.813823;-25.962030
Verê;PR;-52.905108;-25.877201
São Jorge d'Oeste;PR;-52.913092;-25.699002
São João;PR;-52.725240;-25.821375
Sulina;PR;-52.729869;-25.706553
Coronel Vivida;PR;-52.564054;-25.976686
Saudade do Iguaçu;PR;-52.618391;-25.691686
Chopinzinho;PR;-52.517293;-25.851546
Quedas do Iguaçu;PR;-52.910231;-25.449161
Espigão Alto do Iguaçu;PR;-52.834798;-25.421635
Rio Bonito do Iguaçu;PR;-52.529206;-25.487384
Nova Laranjeiras;PR;-52.544682;-25.305376
Boqueirão do Leão;RS;-52.428432;-29.304620
Progresso;RS;-52.319721;-29.244147
Caçador;SC;-51.012004;-26.775670
General Carneiro;PR;-51.317224;-26.424974
Matos Costa;SC;-51.150095;-26.470870
Calmon;SC;-51.095017;-26.594241
União da Vitória;PR;-51.087313;-26.227319
Porto União;SC;-51.075858;-26.245075
Frei Rogério;SC;-50.807621;-27.175021
Lebon Régis;SC;-50.692109;-26.927987
Ponte Alta do Norte;SC;-50.465947;-27.159112
Santa Cecília;SC;-50.425170;-26.959182
Timbó Grande;SC;-50.660720;-26.612671
Nioaque;MS;-55.829618;-21.141882
Laguna Carapã;MS;-55.150210;-22.544818
Caarapó;MS;-54.820928;-22.636764
Juti;MS;-54.606120;-22.859637
Dourados;MS;-54.812043;-22.223099
Itaporã;MS;-54.793381;-22.080035
