"id_municipio";"id_bairro";"uf";"municipio";"bairro";"longitude";"latitude"
2;42570;"AC";"Acrelândia";"Centro";-67.842841;-9.9795356
3;42571;"AC";"Assis Brasil";"Centro";-50.4201661;-22.6657523
4;42572;"AC";"Brasiléia";"Centro";-67.842841;-9.9795356
5;42573;"AC";"Bujari";"Centro";-67.8268028;-9.9352538
6;42574;"AC";"Capixaba";"Centro";-67.8287115;-9.9817545
7;42575;"AC";"Cruzeiro do Sul";"Centro";-72.6690723;-7.6354839
8;42576;"AC";"Epitaciolândia";"Centro";-68.743634;-11.0307015
9;42577;"AC";"Feijó";"Centro";-67.7964379;-10.0022412
10;42578;"AC";"Jordão";"Centro";-40.3798368;-19.7504844
12;42579;"AC";"Manoel Urbano";"Centro";-67.8430595;-9.9792678
13;42580;"AC";"Marechal Thaumaturgo";"Centro";-72.800273;-8.939359
11;42581;"AC";"Mâncio Lima";"Centro";-72.6706024;-7.6361289
14;42582;"AC";"Plácido de Castro";"Centro";-67.1881014;-10.3343314
15;42583;"AC";"Porto Acre";"Centro";-67.8268028;-9.9352538
16;42584;"AC";"Porto Walter";"Centro";-67.8441081;-9.9818629
17;42585;"AC";"Rio Branco";"Abrahão Alab";-67.8250152;-9.9689809
17;42586;"AC";"Rio Branco";"Adalberto Aragão";-67.7869332;-9.9615472
17;42587;"AC";"Rio Branco";"Aeroporto Velho";-67.8197201;-9.9900644
17;42588;"AC";"Rio Branco";"Alegria";-67.8465298;-9.9589027
17;42589;"AC";"Rio Branco";"Areal";-67.7943847;-9.9869869
17;42590;"AC";"Rio Branco";"Aviário";-67.8040717;-9.9660181
17;42591;"AC";"Rio Branco";"Bahia";-67.8260395;-9.9891084
17;42592;"AC";"Rio Branco";"Bahia Nova";-67.8308975;-9.9928111
17;42593;"AC";"Rio Branco";"Baixa da Colina";-67.8025814;-9.9619799
17;42594;"AC";"Rio Branco";"Base";-67.8115233;-9.978342
17;42595;"AC";"Rio Branco";"Bela Vista";-67.8301181;-9.9788482
17;42596;"AC";"Rio Branco";"Bosque";-67.8137588;-9.9607894
17;42597;"AC";"Rio Branco";"Cadeia Nova";-67.8144057;-9.9802608
17;42598;"AC";"Rio Branco";"Cadeia Velha";-67.7951299;-9.9706423
17;42599;"AC";"Rio Branco";"Calafate";-67.8728192;-9.9746071
17;42600;"AC";"Rio Branco";"Capoeira";-67.8070524;-9.9701603
17;42601;"AC";"Rio Branco";"Centro";-67.8077975;-9.9734914
17;42602;"AC";"Rio Branco";"Cerâmica";-67.7967106;-9.9715261
17;42603;"AC";"Rio Branco";"Chácara Ipê";-67.8733725;-9.9649259
17;42604;"AC";"Rio Branco";"Conquista";-67.8346234;-9.9491219
17;42605;"AC";"Rio Branco";"Corrente";-40.5298713;-9.4258301
17;42606;"AC";"Rio Branco";"Distrito Industrial";-67.8703917;-9.943729
17;42607;"AC";"Rio Branco";"Esperança";-67.8371148;-9.9787221
17;42608;"AC";"Rio Branco";"Estação Experimental";-67.828662;-9.9670715
17;42609;"AC";"Rio Branco";"Floresta";-67.8440852;-9.9927541
17;42610;"AC";"Rio Branco";"Geraldo Fleming";-67.8383492;-9.9552825
17;42611;"AC";"Rio Branco";"Ipase";-67.8104056;-9.9694098
17;42612;"AC";"Rio Branco";"Ivete Vargas";-67.8249362;-9.9753395
17;42613;"AC";"Rio Branco";"Izaura Parente";-67.8221188;-9.9644722
17;42614;"AC";"Rio Branco";"Jardim Europa";-67.8465461;-9.9709373
17;42615;"AC";"Rio Branco";"Jardim de Alah";-67.8495268;-9.9658964
17;42616;"AC";"Rio Branco";"José Augusto";-67.8085427;-9.966329
17;42617;"AC";"Rio Branco";"João Eduardo";-67.8319763;-9.9804372
17;42618;"AC";"Rio Branco";"Manoel Julião";-67.8333884;-9.9588537
17;42619;"AC";"Rio Branco";"Mascarenhas de Moraes";-67.8279566;-9.9715088
17;42620;"AC";"Rio Branco";"Morada do Sol";-67.7936396;-9.963981
17;42621;"AC";"Rio Branco";"Nova Estação";-67.828662;-9.9539547
17;42622;"AC";"Rio Branco";"Novo Horizonte";-67.8323879;-9.9797936
17;42623;"AC";"Rio Branco";"Palheiral";-67.8293928;-9.995007
17;42624;"AC";"Rio Branco";"Papouco";-67.8133862;-9.9748641
17;42625;"AC";"Rio Branco";"Placas";-67.8137588;-9.9450521
17;42626;"AC";"Rio Branco";"Plácido de Castro";-67.8405847;-9.9993911
17;42627;"AC";"Rio Branco";"Preventório";-67.8204652;-9.9763404
17;42628;"AC";"Rio Branco";"Primavera";-67.8747191;-9.96334
17;42629;"AC";"Rio Branco";"Quinze";-67.8137588;-9.9844012
17;42630;"AC";"Rio Branco";"Santa Inês";-67.7928944;-10.0091873
17;42631;"AC";"Rio Branco";"Santa Quitéria";-67.8249362;-9.9530404
17;42632;"AC";"Rio Branco";"Segundo Distrito";-49.9727503;-20.4110869
17;42633;"AC";"Rio Branco";"Seis de Agosto";-67.8048169;-9.978531
17;42634;"AC";"Rio Branco";"Sobral";-67.8316427;-9.9987682
17;42635;"AC";"Rio Branco";"São Francisco";-67.7981105;-9.9577347
17;42636;"AC";"Rio Branco";"Tancredo Neves";-67.8316427;-9.9305561
17;42637;"AC";"Rio Branco";"Taquari";-67.8182298;-10.0043948
17;42638;"AC";"Rio Branco";"Terminal Cadeia Velha";-67.8425911;-9.9744695
17;42639;"AC";"Rio Branco";"Triângulo";-67.8086067;-9.9938893
17;42640;"AC";"Rio Branco";"Tropical";-67.7963807;-9.959442
17;42641;"AC";"Rio Branco";"Vila Acre";-67.8248977;-9.975377
17;42642;"AC";"Rio Branco";"Vila Ivonete";-67.8219556;-9.9488991
18;42643;"AC";"Rodrigues Alves";"Centro";-72.6664791;-7.6332686
19;42644;"AC";"Santa Rosa do Purus";"Centro";-51.1621539;-23.2982022
21;42645;"AC";"Sena Madureira";"Centro";-67.8282709;-9.9744336
20;42646;"AC";"Senador Guiomard";"Centro";-67.7367345;-10.1500737
22;42647;"AC";"Tarauacá";"Centro";-67.8115066;-9.9770661
23;42648;"AC";"Xapuri";"Centro";-67.8187769;-9.9930345
25;42649;"AL";"Anadia";"Centro";-35.7361485;-9.6686274
26;42651;"AL";"Arapiraca";"Alto do Cruzeiro";-36.6539184;-9.7462739
26;42652;"AL";"Arapiraca";"Baixa Grande";-36.6714516;-9.7312954
26;42653;"AL";"Arapiraca";"Baixão";-36.6693038;-9.7489291
26;42654;"AL";"Arapiraca";"Boa Vista";-36.6363811;-9.7798956
26;42655;"AL";"Arapiraca";"Bom Sucesso";-36.6876325;-9.7153283
26;42656;"AL";"Arapiraca";"Brasiliana";-36.6647086;-9.7332956
26;42657;"AL";"Arapiraca";"Brasília";-36.6639697;-9.7555596
26;42658;"AL";"Arapiraca";"Cacimbas";-36.6647086;-9.758903
26;42659;"AL";"Arapiraca";"Caititus";-36.6566161;-9.7389549
26;42660;"AL";"Arapiraca";"Canafístula";-36.6255869;-9.7719194
26;42661;"AL";"Arapiraca";"Capiatã";-36.6620112;-9.7406133
26;42662;"AL";"Arapiraca";"Cavaco";-36.6768456;-9.7399354
26;42663;"AL";"Arapiraca";"Centro";-36.6620112;-9.7522534
26;42694;"AL";"Arapiraca";"Distrito Batingas";-36.656207;-9.7617846
26;42664;"AL";"Arapiraca";"Eldorado";-36.6680802;-9.7416057
26;42665;"AL";"Arapiraca";"Guaribas";-36.6606625;-9.7838597
26;42666;"AL";"Arapiraca";"Itapoã";-36.6404286;-9.7479485
26;42667;"AL";"Arapiraca";"Jardim Esperança";-36.6822392;-9.7253033
26;42668;"AL";"Arapiraca";"Jardim Tropical";-36.6431267;-9.7569283
26;42669;"AL";"Arapiraca";"Jardim de Maria";-36.6535812;-9.7361306
26;42670;"AL";"Arapiraca";"Manoel Teles";-36.668963;-9.7548781
26;42671;"AL";"Arapiraca";"Nova Esperança";-36.639754;-9.7695753
26;42672;"AL";"Arapiraca";"Novo Horizonte";-36.6459281;-9.7446955
26;42673;"AL";"Arapiraca";"Olho D'Água dos Cazuzinhos";-36.6654427;-9.7700072
26;42674;"AL";"Arapiraca";"Ouro Preto";-36.6539184;-9.7602447
26;42675;"AL";"Arapiraca";"Planalto";-36.6620112;-9.7243204
26;42689;"AL";"Arapiraca";"Povoado Baixa da Onça";-36.6639697;-9.7555596
26;42708;"AL";"Arapiraca";"Povoado Capim";-36.6639697;-9.7555596
26;42676;"AL";"Arapiraca";"Primavera";-36.6598637;-9.7636021
26;42677;"AL";"Arapiraca";"Santa Edwiges";-36.6586393;-9.7357942
26;42678;"AL";"Arapiraca";"Santa Esmeralda";-36.6505462;-9.7414541
26;42679;"AL";"Arapiraca";"Senador Arnon de Melo";-36.6404286;-9.7363064
26;42680;"AL";"Arapiraca";"Senador Nilo Coelho";-36.6903289;-9.7359338
26;42681;"AL";"Arapiraca";"Senador Teotônio Vilela";-36.6589765;-9.7436089
26;42682;"AL";"Arapiraca";"São Luiz";-36.6498717;-9.76657
26;42683;"AL";"Arapiraca";"São Luiz II";-36.6545929;-9.7688939
26;42684;"AL";"Arapiraca";"Verdes Campos";-36.6485228;-9.7795487
26;42685;"AL";"Arapiraca";"Zélia Barbosa Rocha";-36.6790779;-9.7467423
27;42686;"AL";"Atalaia";"Branca de Atalaia";-36.0775804;-9.4910121
27;42687;"AL";"Atalaia";"Centro";-48.8859863;-1.7258284
27;42688;"AL";"Atalaia";"José Paulino";-36.0088778;-9.5123243
28;42691;"AL";"Barra de Santo Antônio";"Centro";-42.2946889;-4.2450452
29;42692;"AL";"Barra de São Miguel";"Centro";-35.9037947;-9.8436319
30;42693;"AL";"Batalha";"Centro";-35.7015198;-9.6362398
