"id_municipio";"uf";"municipio";"longitude";"latitude"
2;"AC";"Acrelândia";-66.897166;-9.825808
3;"AC";"Assis Brasil";-69.573794;-10.929765
4;"AC";"Brasiléia";-68.749696;-10.994994
5;"AC";"Bujari";-67.955029;-9.815277
6;"AC";"Capixaba";-67.686006;-10.566031
7;"AC";"Cruzeiro do Sul";-72.675582;-7.627625
8;"AC";"Epitaciolândia";-68.734109;-11.018771
9;"AC";"Feijó";-70.350973;-8.170536
10;"AC";"Jordão";-71.897391;-9.430912
12;"AC";"Manoel Urbano";-69.267862;-8.832911
13;"AC";"Marechal Thaumaturgo";-72.799704;-8.938983
11;"AC";"Mâncio Lima";-72.899708;-7.616575
14;"AC";"Plácido de Castro";-67.137133;-10.28064
15;"AC";"Porto Acre";-67.547815;-9.581378
16;"AC";"Porto Walter";-72.753747;-8.263233
17;"AC";"Rio Branco";-67.824348;-9.97499
18;"AC";"Rodrigues Alves";-72.661015;-7.738638
19;"AC";"Santa Rosa do Purus";-70.49025;-9.446515
21;"AC";"Sena Madureira";-68.671278;-9.063499
20;"AC";"Senador Guiomard";-67.736185;-10.149686
22;"AC";"Tarauacá";-70.772154;-8.156975
23;"AC";"Xapuri";-68.496857;-10.651598
25;"AL";"Anadia";-36.307783;-9.684886
26;"AL";"Arapiraca";-36.661471;-9.754866
27;"AL";"Atalaia";-36.008552;-9.511898
28;"AL";"Barra de Santo Antônio";-35.510083;-9.402297
29;"AL";"Barra de São Miguel";-35.905667;-9.83842
30;"AL";"Batalha";-37.133014;-9.674195
32;"AL";"Belo Monte";-37.277014;-9.822718
31;"AL";"Belém";-36.490399;-9.570472
33;"AL";"Boca da Mata";-36.212498;-9.643082
34;"AL";"Branquinha";-36.016152;-9.23342
35;"AL";"Cacimbinhas";-36.991082;-9.401212
36;"AL";"Cajueiro";-36.155937;-9.399402
37;"AL";"Campestre";-35.56847;-8.847228
38;"AL";"Campo Alegre";-36.352461;-9.784512
39;"AL";"Campo Grande";-36.792608;-9.955423
40;"AL";"Canapi";-37.5967;-9.119319
41;"AL";"Capela";-36.082583;-9.415041
42;"AL";"Carneiros";-37.377303;-9.484762
43;"AL";"Chã Preta";-36.298334;-9.255605
44;"AL";"Coité do Nóia";-36.584493;-9.633484
45;"AL";"Colônia Leopoldina";-35.721414;-8.918058
46;"AL";"Coqueiro Seco";-35.799377;-9.637147
47;"AL";"Coruripe";-36.171724;-10.127632
48;"AL";"Craíbas";-36.769726;-9.617798
49;"AL";"Delmiro Gouveia";-37.998676;-9.385336
50;"AL";"Dois Riachos";-37.096502;-9.384645
51;"AL";"Estrela de Alagoas";-36.764407;-9.390894
52;"AL";"Feira Grande";-36.681521;-9.898586
53;"AL";"Feliz Deserto";-36.302788;-10.293491
54;"AL";"Flexeiras";-35.713933;-9.272807
55;"AL";"Girau do Ponciano";-36.831592;-9.884041
56;"AL";"Ibateguara";-35.937325;-8.978232
57;"AL";"Igaci";-36.637191;-9.537678
58;"AL";"Igreja Nova";-36.659705;-10.123463
59;"AL";"Inhapi";-37.750871;-9.225936
60;"AL";"Jacaré dos Homens";-37.207636;-9.635446
61;"AL";"Jacuípe";-35.459074;-8.83951
62;"AL";"Japaratinga";-35.263403;-9.087464
63;"AL";"Jaramataia";-37.004558;-9.662243
64;"AL";"Jequia Da Praia";-36.01423;-10.013268
65;"AL";"Joaquim Gomes";-35.747381;-9.132805
66;"AL";"Jundiá";-35.566925;-8.932968
67;"AL";"Junqueiro";-36.480346;-9.906961
68;"AL";"Lagoa da Canoa";-36.741257;-9.832909
69;"AL";"Limoeiro de Anadia";-36.512097;-9.740983
70;"AL";"Maceió";-35.73496;-9.665985
71;"AL";"Major Isidoro";-36.992006;-9.530086
76;"AL";"Mar Vermelho";-36.388076;-9.447393
72;"AL";"Maragogi";-35.226692;-9.007443
73;"AL";"Maravilha";-37.352419;-9.230449
74;"AL";"Marechal Deodoro";-35.896731;-9.709715
75;"AL";"Maribondo";-36.304488;-9.583528
77;"AL";"Mata Grande";-37.732298;-9.118243
78;"AL";"Matriz de Camaragibe";-35.524302;-9.154373
79;"AL";"Messias";-35.839182;-9.393843
80;"AL";"Minador do Negrão";-36.869553;-9.312358
81;"AL";"Monteirópolis";-37.250463;-9.603569
82;"AL";"Murici";-35.942798;-9.306823
83;"AL";"Novo Lino";-35.664001;-8.941905
86;"AL";"Olho d`Água Grande";-36.810082;-10.057167
84;"AL";"Olho d`Água das Flores";-37.297093;-9.536858
85;"AL";"Olho d`Água do Casado";-37.830073;-9.503573
87;"AL";"Olivença";-37.195441;-9.519538
88;"AL";"Ouro Branco";-37.355639;-9.158842
89;"AL";"Palestina";-37.339037;-9.674928
90;"AL";"Palmeira dos Índios";-36.632812;-9.405681
92;"AL";"Pariconha";-37.998751;-9.256342
93;"AL";"Paripueira";-35.551977;-9.463133
94;"AL";"Passo de Camaragibe";-35.47449;-9.24511
95;"AL";"Paulo Jacinto";-36.367241;-9.367918
96;"AL";"Penedo";-36.581905;-10.287422
97;"AL";"Piaçabuçu";-36.433968;-10.405989
98;"AL";"Pilar";-35.954294;-9.601348
99;"AL";"Pindoba";-36.291829;-9.473822
100;"AL";"Piranhas";-37.756987;-9.623996
102;"AL";"Porto Calvo";-35.398653;-9.051948
104;"AL";"Porto Real do Colégio";-36.837551;-10.18489
103;"AL";"Porto de Pedras";-35.304914;-9.160065
101;"AL";"Poço das Trincheiras";-37.288932;-9.307417
91;"AL";"Pão de Açúcar";-37.440336;-9.740325
105;"AL";"Quebrangulo";-36.469239;-9.32001
106;"AL";"Rio Largo";-35.839435;-9.477829
107;"AL";"Roteiro";-35.978247;-9.835029
108;"AL";"Santa Luzia do Norte";-35.823196;-9.6037
109;"AL";"Santana do Ipanema";-37.248018;-9.369989
110;"AL";"Santana do Mundaú";-36.217608;-9.171413
118;"AL";"Satuba";-35.822697;-9.569113
119;"AL";"Senador Rui Palmeira";-37.457606;-9.469865
111;"AL";"São Brás";-36.896529;-10.120734
112;"AL";"São José da Laje";-36.051489;-9.012779
113;"AL";"São José da Tapera";-37.383125;-9.557684
114;"AL";"São Luís do Quitunde";-35.560553;-9.31816
115;"AL";"São Miguel dos Campos";-36.097142;-9.78301
116;"AL";"São Miguel dos Milagres";-35.376253;-9.264925
117;"AL";"São Sebastião";-36.558967;-9.930434
120;"AL";"Tanque d`Arca";-36.43661;-9.533788
121;"AL";"Taquarana";-36.492844;-9.64529
122;"AL";"Teotônio Vilela";-36.349212;-9.916562
123;"AL";"Traipu";-37.007119;-9.962625
124;"AL";"União dos Palmares";-36.02227;-9.15921
125;"AL";"Viçosa";-36.243107;-9.367631
24;"AL";"Água Branca";-37.937988;-9.261996
126;"AM";"Alvarães";-64.800654;-3.22727
127;"AM";"Amaturá";-68.200456;-3.374547
166;"AM";"Anamã";-61.396337;-3.566966
128;"AM";"Anori";-61.657485;-3.746027
